Date,Adj Close
2017-05-24,2404.389893
2017-05-25,2415.070068
2017-05-26,2415.820068
2017-05-30,2412.909912
2017-05-31,2411.800049
2017-06-01,2430.060059
2017-06-02,2439.070068
2017-06-05,2436.100098
2017-06-06,2429.330078
2017-06-07,2433.139893
2017-06-08,2433.790039
2017-06-09,2431.77002
2017-06-12,2429.389893
2017-06-13,2440.350098
2017-06-14,2437.919922
2017-06-15,2432.459961
2017-06-16,2433.149902
2017-06-19,2453.459961
2017-06-20,2437.030029
2017-06-21,2435.610107
2017-06-22,2434.5
2017-06-23,2438.300049
2017-06-26,2439.070068
2017-06-27,2419.379883
2017-06-28,2440.689941
2017-06-29,2419.699951
2017-06-30,2423.409912
2017-07-03,2429.01001
2017-07-05,2432.540039
2017-07-06,2409.75
2017-07-07,2425.179932
2017-07-10,2427.429932
2017-07-11,2425.530029
2017-07-12,2443.25
2017-07-13,2447.830078
2017-07-14,2459.27002
2017-07-17,2459.139893
2017-07-18,2460.610107
2017-07-19,2473.830078
2017-07-20,2473.449951
2017-07-21,2472.540039
2017-07-24,2469.909912
2017-07-25,2477.129883
2017-07-26,2477.830078
2017-07-27,2475.419922
2017-07-28,2472.100098
2017-07-31,2470.300049
2017-08-01,2476.350098
2017-08-02,2477.570068
2017-08-03,2472.159912
2017-08-04,2476.830078
2017-08-07,2480.909912
2017-08-08,2474.919922
2017-08-09,2474.02002
2017-08-10,2438.209961
2017-08-11,2441.320068
2017-08-14,2465.840088
2017-08-15,2464.610107
2017-08-16,2468.110107
2017-08-17,2430.01001
2017-08-18,2425.550049
2017-08-21,2428.370117
2017-08-22,2452.51001
2017-08-23,2444.040039
2017-08-24,2438.969971
2017-08-25,2443.050049
2017-08-28,2444.23999
2017-08-29,2446.300049
2017-08-30,2457.590088
2017-08-31,2471.649902
2017-09-01,2476.550049
2017-09-05,2457.850098
2017-09-06,2465.540039
2017-09-07,2465.100098
2017-09-08,2461.429932
2017-09-11,2488.110107
2017-09-12,2496.47998
2017-09-13,2498.370117
2017-09-14,2495.620117
2017-09-15,2500.22998
2017-09-18,2503.870117
2017-09-19,2506.649902
2017-09-20,2508.23999
2017-09-21,2500.600098
2017-09-22,2502.219971
2017-09-25,2496.659912
2017-09-26,2496.840088
2017-09-27,2507.040039
2017-09-28,2510.060059
2017-09-29,2519.360107
2017-10-02,2529.120117
2017-10-03,2534.580078
2017-10-04,2537.73999
2017-10-05,2552.070068
2017-10-06,2549.330078
2017-10-09,2544.72998
2017-10-10,2550.639893
2017-10-11,2555.23999
2017-10-12,2550.929932
2017-10-13,2553.169922
2017-10-16,2557.639893
2017-10-17,2559.360107
2017-10-18,2561.26001
2017-10-19,2562.100098
2017-10-20,2575.209961
2017-10-23,2564.97998
2017-10-24,2569.129883
2017-10-25,2557.149902
2017-10-26,2560.399902
2017-10-27,2581.070068
2017-10-30,2572.830078
2017-10-31,2575.26001
2017-11-01,2579.360107
2017-11-02,2579.850098
2017-11-03,2587.840088
2017-11-06,2591.129883
2017-11-07,2590.639893
2017-11-08,2594.379883
2017-11-09,2584.620117
2017-11-10,2582.300049
2017-11-13,2584.840088
2017-11-14,2578.870117
2017-11-15,2564.620117
2017-11-16,2585.639893
2017-11-17,2578.850098
2017-11-20,2582.139893
2017-11-21,2599.030029
2017-11-22,2597.080078
2017-11-24,2602.419922
2017-11-27,2601.419922
2017-11-28,2627.040039
2017-11-29,2626.070068
2017-11-30,2647.580078
2017-12-01,2642.219971
2017-12-04,2639.439941
2017-12-05,2629.570068
2017-12-06,2629.27002
2017-12-07,2636.97998
2017-12-08,2651.5
2017-12-11,2659.98999
2017-12-12,2664.110107
2017-12-13,2662.850098
2017-12-14,2652.01001
2017-12-15,2675.810059
2017-12-18,2690.159912
2017-12-19,2681.469971
2017-12-20,2679.25
2017-12-21,2684.570068
2017-12-22,2683.340088
2017-12-26,2680.5
2017-12-27,2682.620117
2017-12-28,2687.540039
2017-12-29,2673.610107
2018-01-02,2695.810059
2018-01-03,2713.060059
2018-01-04,2723.98999
2018-01-05,2743.149902
2018-01-08,2747.709961
2018-01-09,2751.290039
2018-01-10,2748.22998
2018-01-11,2767.560059
2018-01-12,2786.23999
2018-01-16,2776.419922
2018-01-17,2802.560059
2018-01-18,2798.030029
2018-01-19,2810.300049
2018-01-22,2832.969971
2018-01-23,2839.129883
2018-01-24,2837.540039
2018-01-25,2839.25
2018-01-26,2872.870117
2018-01-29,2853.530029
2018-01-30,2822.429932
2018-01-31,2823.810059
2018-02-01,2821.97998
2018-02-02,2762.129883
2018-02-05,2648.939941
2018-02-06,2695.139893
2018-02-07,2681.659912
2018-02-08,2581
2018-02-09,2619.550049
2018-02-12,2656
2018-02-13,2662.939941
2018-02-14,2698.629883
2018-02-15,2731.199951
2018-02-16,2732.219971
2018-02-20,2716.26001
2018-02-21,2701.330078
2018-02-22,2703.959961
2018-02-23,2747.300049
2018-02-26,2779.600098
2018-02-27,2744.280029
2018-02-28,2713.830078
2018-03-01,2677.669922
2018-03-02,2691.25
2018-03-05,2720.939941
2018-03-06,2728.120117
2018-03-07,2726.800049
2018-03-08,2738.969971
2018-03-09,2786.570068
2018-03-12,2783.02002
2018-03-13,2765.310059
2018-03-14,2749.47998
2018-03-15,2747.330078
2018-03-16,2752.01001
2018-03-19,2712.919922
2018-03-20,2716.939941
2018-03-21,2711.929932
2018-03-22,2643.689941
2018-03-23,2588.26001
2018-03-26,2658.550049
2018-03-27,2612.620117
2018-03-28,2605
2018-03-29,2640.870117
2018-04-02,2581.879883
2018-04-03,2614.449951
2018-04-04,2644.689941
2018-04-05,2662.840088
2018-04-06,2604.469971
